Date,Link,OptionText
2021-12-12 05:25:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874406537712979968,30+ LPA
2021-12-12 05:25:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:6875649281542414336,Depends on my mood
2021-12-11 13:57:31,https://www.linkedin.com/feed/update/urn:li:ugcPost:6875425286427688962,BigData Tools
2021-12-11 12:06:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:6875304218417262592,Money
2021-12-11 12:05:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6875344164549197824,Job Swtich
2021-12-11 08:33:31,https://www.linkedin.com/feed/update/urn:li:ugcPost:6875351753127288832,Opens next quarter may be
2021-12-11 04:39:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6875115326774890497,All the above 
2021-12-10 12:47:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874538146328051712,Julia
2021-12-10 12:38:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:6875029101909032960,Data Engineer will fly 
2021-12-10 07:26:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874604064236212224,Big4 Audit/Accounting company
2021-12-09 01:39:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874430139745226752,Yes
2021-12-09 01:39:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874401090742349824,Telugu
2021-12-09 01:38:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874376729662693377,Yes
2021-12-09 01:38:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874401702582206464,Yes
2021-12-08 10:23:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874208020197326848,Yes
2021-12-08 09:28:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874196334090444801,4
2021-12-08 02:40:25,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-6873982080162770945,"No, I don't need it"
2021-12-08 01:20:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874056497505042433,Yes but a lot automated
2021-12-08 01:18:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873958875452862464,LinkedIn 😁
2021-12-08 01:17:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873984225117388800,numRDD.mapPartitions(it=>{
2021-12-07 00:04:31,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873621951349329921,Python
2021-12-07 00:03:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873734399888912385,No 
2021-12-07 00:02:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873487037316562944,K-Nearest Neighbor
2021-12-07 00:02:13,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873614468375486464,After 2-3 Years 
2021-12-07 00:01:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873481192201629696,Python
2021-12-06 09:24:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873485445024489472,Yes
2021-12-06 06:18:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873490052777881600,Telangana
2021-12-06 03:48:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873456168094703616,c d
2021-12-06 01:41:18,https://www.linkedin.com/feed/update/urn:li:ugcPost:6871772700835135488,20-30 years old
2021-12-05 17:17:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873267258525913088,Your interview skills
2021-12-05 17:16:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873239592322048000,UPI
2021-12-05 12:31:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873083469438697472,No
2021-12-05 12:26:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6873173012598820864,No
2021-12-04 23:46:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:6872775804447813632,"Yes, after serving for 15 year"
2021-12-04 23:46:07,https://www.linkedin.com/feed/update/urn:li:groupPost:3990648-6872964487578746880,Work from home
