Date,Type,Link
2022-04-14 05:27:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6919518947444744192?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6919518947444744192%2C6919658300871516160%29
2022-04-13 14:49:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12135067-6920008384142266368
2022-04-13 02:03:16,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6919514480951398400
2022-04-12 14:48:11,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6919518947444744192?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6919518947444744192%2C6919626431387889664%29
2022-04-12 06:50:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6919494535022604288?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6919494535022604288%2C6919524690243829760%29
2022-04-12 05:57:08,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6919518947444744192
2022-04-11 21:53:15,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6919262822031863808
2022-04-09 14:59:34,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6918413403405316096
2022-04-09 13:49:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6918067406535880704?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6918067406535880704%2C6918519562724327425%29
2022-04-09 10:23:55,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6918500762297790464
2022-04-09 04:21:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6918410375369564160
2022-04-08 23:57:04,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6917783469246873600
2022-04-08 15:11:01,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6917523704872669184
2022-04-08 11:58:46,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6918065492658122752
2022-04-07 23:48:35,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6792683374327693312
2022-04-07 23:48:25,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6847165533415079937
2022-04-07 23:46:35,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6917885925003866112
2022-04-07 13:21:54,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6917783469246873600?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6917783469246873600%2C6917823381492969472%29
2022-04-07 10:35:51,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6917764503258492928
2022-04-07 09:05:10,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6917720349316984832
2022-04-04 13:39:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6916715054021169152
2022-04-02 13:46:07,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915244520754282496
2022-04-02 13:45:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A762547-6915994752483999744
2022-03-31 17:05:36,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915341780972425216
2022-03-29 11:52:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6914516076697374720
2022-03-29 09:37:50,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6914492531372101632
2022-03-28 15:13:05,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6909807131781201920
2022-03-26 05:21:42,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6913090172788047872
2022-03-23 04:15:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912236760995414016?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6912236760995414016%2C6912247387046494209%29
2022-03-22 20:39:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6909063140223651840
2022-03-21 16:48:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6911644941895024640
2022-03-21 09:19:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6911563196084432896
2022-03-20 13:54:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Acomment%3A%28groupPost%3A25827-6911271451404750848%2C6911275843176595456%29
2022-03-18 10:17:38,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6910403061525991424
2022-03-18 10:17:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6910403061525991424?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6910403061525991424%2C6910418720402153472%29
2022-03-17 13:39:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910171610251411456
2022-03-14 05:59:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6909008712707751936
2022-03-13 16:45:13,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A131724-6905017704110252032
2022-03-13 06:36:23,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6908438487478239232
2022-03-11 06:22:59,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905852896211017728
2022-03-10 11:42:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6904117850018312192
2022-03-09 11:00:24,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6907137904355741696
2022-03-09 04:15:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6906794845105700867
2022-03-08 14:10:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6906957946069114880
2022-03-08 13:50:22,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6906923107140124672
2022-03-08 07:38:41,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6906795442382745600
2022-03-07 17:14:58,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6906645543645499392
2022-03-07 16:06:05,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6906541133283901441
2022-03-07 05:23:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6903978642829914113?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6903978642829914113%2C6906467655386046464%29
2022-03-06 16:21:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6906220241194758144
2022-03-06 07:51:48,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6904335909865828352
2022-03-06 05:28:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905925311041564672
